NGÀY,GIÁ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,GIÁ TB,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,OUTLIER_BLOCK_TRADE,LOG_RETURN,VOLATILITY_30D,MONTH
2022-06-07,58675.9277662775,2600,0.02300885,57203.9537998225,58675.9277662775,55122.8871575928,111981.71443193451,3908000,437624540000,2118500,256126650000,6026500,693751190000,0,0.022748137525935998,0.548397236903521,6
2022-06-08,58371.3814283904,-600,-0.00519031,59031.2318271459,59691.0822259017,58117.5928134843,115983.43106299805,2660400,308562320000,398200,48738760000,3058600,357301080000,0,-0.005203827875024432,0.5033164257342636,6
2022-06-09,58523.6545973339,300,0.0026087,58625.1700432963,58828.2009352211,57508.5001377097,114501.89884545509,1706300,195374590000,709100,87219300000,2415400,282593890000,0,0.00260529891176118,0.5030869286783164,6
2022-06-10,55833.4952793298,-5300,-0.04596704,57559.257860691,58219.1082594466,55833.4952793298,112810.78216989068,2972500,335330050000,1159100,142917030000,4131600,478247080000,0,-0.047057061482597626,0.5221410728802459,6
2022-06-13,52982.7527365005,-4600,-0.05066079,54089.1211231097,55810.1386133903,52859.8229157661,88577.812159255,3393300,300571090000,442300,42947330000,3835600,343518420000,0,-0.052407522592620805,0.5410356798632453,6
2022-06-14,54765.2351371485,2900,0.03364269,52859.8229157661,55256.9544200858,52552.4983639302,88172.49924186632,2308300,203528580000,587100,53961620000,2895400,257490200000,0,0.03308915680711745,0.5494144054498858,6
2022-06-15,55625.7438822889,1400,0.01571268,55687.2087926559,55687.2087926559,54089.1211231097,89657.44922273915,1762600,158030220000,1104100,104905730000,2866700,262935950000,0,0.015590516229117179,0.5507534240542671,6
2022-06-16,56547.7175377964,1500,0.01657459,55933.0684341246,57654.0859244055,55441.3491511873,92053.02879841113,2517500,231743500000,870000,84216000000,3387500,315959500000,0,0.016438726343159064,0.5524349524452512,6
2022-06-17,56547.7175377964,0,0.0,55502.8140615545,56916.5069999995,54703.7702267812,90401.53786508142,2321400,209858130000,1704900,167762160000,4026300,377620290000,0,0.0,0.5350464886198595,6
2022-06-20,56547.7175377964,0,0.0,57469.6911933038,58084.3402969756,56117.4631652263,92864.51547968922,2483900,230666170000,183600,17830800000,2667500,248496970000,0,0.0,0.49569922916325093,6
